# Reaction ID 	 Column-Integrated Reaction Rate (cm**-2 s**-1)
R1	6.824256e-71
R2	6.130357e-52
R3	1.049956e-19
R4	1.470782e-11
R5	3.700607e-51
R6	4.205151e+06
R7	2.798413e-08
R8	1.109945e+01
R9	1.084394e-14
R10	3.323257e-40
R11	1.226666e-13
R12	3.464291e-06
R13	2.797033e-18
R14	6.428556e-05
R15	4.944962e-36
R16	2.645629e-03
R17	8.251521e-02
R18	2.067533e-13
R19	1.227238e-22
R20	5.821639e-03
R21	1.433040e-09
R22	7.816581e-10
R23	1.560750e-09
R24	4.154126e-13
R25	5.252343e-11
R26	1.726944e-05
R27	3.067160e-18
R28	2.029352e-15
R29	7.164730e-02
R30	1.749714e-01
R31	1.147245e-06
R32	6.880746e+00
R33	8.399434e+01
R34	1.438463e-11
R35	1.093432e-03
R36	3.281145e-09
R37	3.139143e-09
R38	2.005212e-08
R39	4.205449e-11
R40	1.464070e+07
R41	3.304336e-49
R44	7.942778e-03
R45	1.022686e-06
R46	5.113428e-08
R47	3.151248e-15
R48	2.846380e-10
R49	2.628612e-14
R50	3.517554e-03
R51	4.026536e-13
R52	1.649862e-11
R53	3.998306e-04
R54	2.943300e-24
R55	1.783496e+00
R56	2.984600e-02
R57	7.597167e-24
R59	5.618617e-04
R60	2.229544e-02
R61	1.928201e-03
R62	4.710127e-15
R63	9.805277e-07
R64	5.372914e-03
R65	1.588009e-04
R66	8.047976e-02
R67	7.266402e+01
R68	3.513528e-10
R69	1.558640e-05
R70	3.306656e+04
R71	2.204437e+05
R72	1.443292e-09
R73	1.233567e-10
R74	5.870618e-16
R75	7.487251e-08
R76	8.744581e-02
R77	8.744581e-01
R78	1.674985e+00
R79	4.212502e+02
R80	2.733239e-15
R81	3.356079e+02
R82	1.076173e-16
R83	7.108503e-16
R84	3.547444e-09
R85	6.435989e-24
R86	3.927044e-24
R87	1.048198e-26
R88	0.000000e+00
R89	0.000000e+00
R90	0.000000e+00
R91	1.303578e-03
R92	4.687902e-01
R93	5.290106e-09
R94	2.153253e-06
R95	6.196087e-10
R96	4.691943e+01
R97	1.816134e-28
R98	4.397423e-07
R99	3.177071e+00
R100	2.633830e-08
R101	2.756162e+01
R102	0.000000e+00
R103	0.000000e+00
R104	0.000000e+00
R105	0.000000e+00
R106	0.000000e+00
R107	0.000000e+00
R108	3.191665e-08
R109	1.469452e-03
R110	2.040061e+01
R111	2.970288e+04
R112	3.675368e+03
R113	1.399515e+06
R114	2.799031e+06
R115	4.241813e-04
R116	1.893925e-04
R117	5.113928e-04
R118	4.330104e+05
R119	2.204329e-08
R120	4.989213e-87
R121	2.767411e-64
R122	1.746576e-39
R123	7.508945e+03
R124	3.308236e-31
R125	2.943184e-08
R126	1.148680e-21
R127	4.880153e+02
R128	2.934559e-37
R129	5.351567e-21
R130	6.855689e+02
R131	6.352701e+03
R132	7.122891e+02
R133	1.271821e+03
R134	6.937206e+02
R135	3.785274e-10
R136	9.842491e-01
R137	8.589220e+02
R138	1.397042e+03
R140	1.726099e+04
R141	8.630496e+02
R142	2.155164e+02
R143	6.410365e+04
R145	3.063269e+05
R146	3.908753e+06
R147	4.551731e+07
R148	1.749956e+08
R149	3.256673e-09
R150	1.974256e+01
R152	2.924778e+07
R153	1.646212e+07
R154	1.028882e+06
R155	2.275962e-02
R156	1.875549e-26
R157	1.039846e+06
R159	3.767755e+05
R160	4.307652e-10
R161	5.197663e-10
R162	1.465874e+10
R163	1.647003e+01
R164	2.331585e-08
R165	9.439155e-04
R166	8.432699e+02
R167	5.954887e+01
R168	5.641608e+00
R169	6.716281e-13
R171	1.828154e-02
R172	2.166093e+07
R173	1.017625e-09
R174	4.818042e-19
R175	3.154354e-02
R176	4.728458e-05
R177	2.791605e-02
R178	3.185724e-10
R179	1.210164e-17
R180	3.285993e+08
R181	7.302207e+06
R182	3.149077e+07
R183	1.206669e-15
R186	1.337212e+04
R187	1.789841e-51
R188	6.984982e-36
R189	7.514966e+06
R190	2.585488e+03
R192	1.527181e+04
R193	1.049956e-19
R195	2.979620e+03
R196	8.018663e-30
R197	1.106521e-05
R198	5.378732e+04
R199	6.646852e+01
R200	7.976222e+01
R201	1.554308e-03
R202	1.054788e+06
R203	1.324515e+06
R204	1.818452e+04
R205	1.395696e-25
R206	3.020925e+04
R207	2.883137e+04
R209	1.744343e-12
R212	1.050436e+10
R213	2.315297e-14
R214	2.020767e-49
R215	4.811661e-04
R216	4.474747e-04
R217	1.055056e-06
R218	1.109044e+05
R219	3.156616e-06
R220	3.350375e-05
R221	2.383067e-10
R222	2.384206e-18
R223	8.974811e-11
R224	1.245457e-03
R225	1.323966e-09
R226	1.179247e-27
R227	2.198270e-10
R228	5.532975e-11
R229	4.829713e-06
R230	1.434541e+09
R231	1.631518e+03
R232	4.551843e+02
R233	2.654619e-13
R235	1.062784e+02
R236	1.749673e+04
R237	2.423013e+03
R238	9.961595e-07
R239	1.714835e-04
R242	7.557766e-07
R243	2.292663e-09
R244	1.767507e-22
R245	3.002640e-14
R246	4.229198e-06
R247	4.041321e-03
R248	2.584295e-15
R250	5.317851e-06
R251	5.317851e-06
R252	3.878713e-11
R254	9.233188e-12
R255	9.328101e-14
R257	6.409821e-01
R258	3.519538e+03
R259	3.981451e+04
R260	9.940665e-04
R261	1.259720e-06
R263	4.282838e+01
R264	1.867402e+08
R265	5.422785e+03
R266	1.347472e+07
R267	3.882871e+08
R268	3.420752e-04
R269	6.190695e-02
R270	1.226918e+02
