# Reaction ID 	 Column-Integrated Reaction Rate (cm**-2 s**-1)
R1	2.717481e-67
R2	3.673026e-46
R3	8.935598e-19
R4	8.683643e-08
R5	3.148172e-50
R6	1.826415e+07
R7	3.481392e-02
R8	4.618262e+03
R9	1.506954e-08
R10	1.447503e-33
R11	4.130908e-08
R12	1.052728e-01
R13	1.965276e-13
R14	3.611003e-01
R15	2.427933e-24
R16	1.041358e+04
R17	8.445838e+05
R18	4.888421e-09
R19	2.049893e-17
R20	3.003419e+04
R21	5.982550e-03
R22	3.263209e-03
R23	3.538544e-13
R24	4.047839e-07
R25	5.117957e-05
R26	7.192209e-03
R27	1.297343e-08
R28	1.041047e-13
R29	1.717570e+04
R30	2.882828e+02
R31	1.226858e-02
R32	3.893421e+03
R33	1.284186e+05
R34	1.929953e-05
R35	3.504830e+01
R36	5.405776e-04
R37	8.377186e-04
R38	6.734164e-04
R39	5.364877e-09
R40	1.251460e-09
R41	3.950837e-36
R44	4.456622e+02
R45	1.572568e-02
R46	7.862839e-04
R47	5.055855e-11
R48	2.670744e-08
R49	6.568664e-12
R50	4.976103e-02
R51	7.118474e-05
R52	3.238354e-11
R53	5.015797e-04
R54	7.169585e-24
R55	9.436661e+05
R56	7.210463e+00
R57	2.643994e-19
R59	1.150617e+01
R60	5.569814e+00
R61	5.971268e-01
R62	2.093706e-11
R63	4.507035e-07
R64	2.316503e-01
R65	1.488748e-06
R66	5.658257e-04
R67	6.939318e+01
R68	6.767400e-07
R69	3.484108e-08
R70	3.040128e+02
R71	2.026752e+03
R72	1.055274e-01
R73	1.859364e-05
R74	1.514211e-10
R75	5.072349e-03
R76	1.161397e-03
R77	1.161397e-02
R78	1.029482e-03
R79	2.922262e+00
R80	2.237769e-13
R81	4.812373e+03
R82	7.294796e-13
R83	9.496645e-13
R84	1.519766e-08
R85	3.027904e-21
R86	1.847535e-21
R87	9.286328e-26
R88	0.000000e+00
R89	0.000000e+00
R90	0.000000e+00
R91	3.500318e+01
R93	8.668479e+00
R94	8.417713e-06
R95	2.510448e-10
R96	6.265711e-01
R97	3.627503e-28
R98	5.983714e-05
R99	4.743182e+05
R100	2.478832e-07
R101	1.476199e+06
R102	0.000000e+00
R103	0.000000e+00
R104	0.000000e+00
R105	0.000000e+00
R106	0.000000e+00
R107	0.000000e+00
R108	1.349224e-04
R109	3.223594e+03
R110	9.412363e+00
R111	1.772256e+02
R112	1.431668e+04
R113	6.059293e+04
R114	1.211859e+05
R115	1.250777e-05
R116	1.281955e+01
R117	1.119833e-03
R118	3.949491e+04
R119	3.467884e+02
R120	7.477604e-70
R121	1.539477e-53
R122	1.729655e-37
R123	1.587953e+05
R124	1.148753e-27
R125	4.038985e-02
R126	1.626119e-14
R127	2.387928e+05
R128	1.435922e-34
R129	1.537161e-18
R130	3.268186e+03
R131	1.191460e+05
R132	1.335910e+04
R133	1.200863e+04
R134	6.550162e+03
R135	4.172307e-08
R136	1.717149e-02
R137	8.327739e+01
R138	1.354512e+02
R140	8.468500e+04
R141	4.234250e+03
R142	1.801109e+03
R143	1.527120e+01
R145	3.335934e+06
R146	5.121447e+07
R147	1.041905e+06
R148	9.193515e+06
R149	2.093226e-10
R150	5.096578e-03
R152	3.655269e+06
R153	2.074653e+06
R154	1.296658e+05
R155	3.860781e-02
R156	3.181471e-26
R157	5.493008e+03
R159	5.118758e+03
R160	2.778469e-09
R161	3.352532e-09
R162	1.857401e+09
R163	4.635069e+05
R164	6.556549e-04
R165	1.172389e-07
R166	1.072768e-01
R167	1.816149e+00
R168	1.720602e-01
R169	3.373950e-09
R171	7.250575e+01
R172	1.927432e+08
R173	1.684694e-13
R174	1.454867e-25
R175	7.265434e-02
R176	1.088918e-04
R177	6.430184e-02
R178	5.774052e-15
R179	1.071256e-25
R180	7.592521e+06
R181	1.687227e+05
R182	7.276167e+05
R183	2.736265e-16
R186	2.308767e+03
R187	3.210206e-59
R188	1.253507e-43
R189	2.242763e+03
R190	6.497330e-06
R192	2.027096e+03
R193	8.935598e-19
R195	1.978947e+06
R196	1.076448e-16
R197	3.646902e+03
R198	4.269439e+03
R199	1.133322e+04
R200	1.359986e+04
R201	3.398882e+06
R202	3.078778e+07
R203	5.298663e+03
R204	4.214103e+00
R205	8.081867e-27
R206	6.634596e+04
R207	1.605382e+08
R209	6.217359e-12
R212	1.756474e+09
R213	6.153371e-25
R214	9.696239e-49
R215	1.946200e-01
R216	1.928534e-11
R217	5.981922e-08
R218	1.657008e+06
R219	9.868492e-03
R220	8.495143e-07
R221	2.926156e-07
R222	1.955214e-18
R223	3.348566e-09
R224	5.755532e-02
R225	2.661047e-11
R226	1.230674e-26
R227	2.904962e-12
R228	1.362346e-07
R229	5.148895e-04
R230	7.497049e+07
R231	4.716849e+00
R232	1.118798e+02
R233	1.847634e-08
R235	1.246553e+05
R236	1.044613e+02
R237	2.266658e+00
R238	4.015398e+03
R239	4.794777e+00
R242	1.966595e+00
R243	2.860123e-05
R244	4.040121e-20
R245	6.680893e-12
R246	7.605894e-04
R247	3.711928e-04
R248	2.354733e-13
R250	1.279149e-05
R251	1.279149e-05
R252	4.338937e-12
R254	3.096665e-11
R255	2.761397e-16
R257	2.281225e-03
R258	1.865774e+05
R259	1.024592e+03
R260	4.459365e-16
R261	2.032137e-10
R263	1.672947e-02
R264	6.438313e+06
R265	6.440227e-07
R266	2.723566e+03
R267	2.153671e+08
R268	6.195829e-05
R269	5.810215e-09
R270	4.452965e-09
