Total_Molecules: 84
Total_Reactions: 734
Sorting by     : TP Descending
************************************************************

NH2				PRODUCTION RXS		INT RX RATE	TP = 5.06e+10

  P42	NH3			= NH2	+ H		2.591424e+10
  R641	N2H3	+ H		= NH2	+ NH2		1.231840e+10 (x2)
  R329	NH3	+ CN		= HCN	+ NH2		2.985404e+07
  R523	OH	+ NH3		= H2O	+ NH2		8.220697e+06
  M24	N	+ H2		= NH2			1.183752e+05
  R461	O(1D)	+ NH3		= OH	+ NH2		2.021182e+04
  R186	H	+ NH3		= H2	+ NH2		2.308767e+03
  R171	H	+ HCNO		= CO	+ NH2		7.250575e+01
  R300	NH	+ NH3		= NH2	+ NH2		7.379724e+00 (x2)
  R328	NH3	+ CH3		= CH4	+ NH2		4.175867e-01
  T91	N2H4			= NH2	+ NH2		2.763119e-06 (x2)
  R515	OH	+ HCN		= CO	+ NH2		1.322555e-09
  R40	NH	+ OH		= NH2	+ O		1.251460e-09
  T93	CH5N			= CH3	+ NH2		4.267347e-22
  R174	H	+ HNO		= NH2	+ O		1.454867e-25

NH2				LOSS RXS		INT RX RATE	TL = 5.06e+10

  M85	NH2	+ NH2		= N2H4			2.382744e+10 (x2)
  R212	H2	+ NH2		= NH3	+ H		1.756474e+09
  M14	H	+ NH2		= NH3			5.205385e+08
  M86	NH2	+ CH3		= CH5N			2.765555e+08
  R320	NH2	+ NO		= H2O	+ N2		2.254224e+08
  R322	NH2	+ O		= H	+ HNO		1.199747e+08
  R323	NH2	+ O		= OH	+ NH		1.863061e+07
  R324	NH2	+ O		= H2	+ NO		1.333052e+07
  R326	NH2	+ OH		= H2O	+ NH		1.790800e+06
  R644	NH2	+ OH		= NH3	+ O		1.350626e+06
  R258	HO2	+ NH2		= NH3	+ O2		1.865774e+05
  M40	NH2	+ C2H3		= C2H5N			1.142391e+05
  R312	NH2	+ C2H4		= C2H3	+ NH3		2.985634e+02
  R313	NH2	+ C2H4O		= C2H3O	+ NH3		4.987087e+01
  R319	NH2	+ H2O		= OH	+ NH3		3.925590e+01
  R311	NH2	+ C2H2		= C2H	+ NH3		2.096834e+01
  R321	NH2	+ NO2		= H2O	+ N2O		8.233409e-01
  R317	NH2	+ CH4		= CH3	+ NH3		5.332974e-01
  R315	NH2	+ C2H6		= C2H5	+ NH3		4.181400e-01
  R316	NH2	+ CH3		= CH4	+ NH		3.842566e-03
  R325	NH2	+ O3		= H2O	+ NO2		1.686273e-04
  R314	NH2	+ C2H5		= C2H6	+ NH		7.781957e-10
  R310	NH2	+ C		= CH	+ NH		1.767588e-24

************************************************************

H				PRODUCTION RXS		INT RX RATE	TP = 5.01e+10

  P42	NH3			= NH2	+ H		2.591424e+10
  P68	N2H4			= N2H3	+ H		9.200129e+09
  R512	OH	+ H2		= H2O	+ H		2.052858e+09
  R455	O(1D)	+ H2		= H	+ OH		2.050938e+09
  P6	H2O			= H	+ OH		1.979910e+09
  T46	CHO			= CO	+ H		1.817867e+09
  R212	H2	+ NH2		= NH3	+ H		1.756474e+09
  R511	OH	+ CO		= CO2	+ H		1.290394e+09
  P20	CH2O			= CHO	+ H		1.264166e+09
  R533	S	+ HS		= H	+ S2		6.875177e+08
  R445	O	+ OH		= O2	+ H		6.421244e+08
  P45	H2S			= HS	+ H		4.993895e+08
  P41	HCN			= H	+ CN		2.071848e+08
  R207	H2	+ CN		= HCN	+ H		1.605382e+08
  R597	CH21	+ H2		= CH3	+ H		1.473179e+08
  P32	CH4			= CH3	+ H		1.294753e+08
  R322	NH2	+ O		= H	+ HNO		1.199747e+08
  R308	NH	+ OH		= H	+ HNO		8.159718e+07
  R304	NH	+ O		= NO	+ H		3.287776e+07
  R202	H2	+ CH		= CH2	+ H		3.078778e+07
  P34	CH4			= CH	+ H2	+ H	1.894761e+07
  R415	O	+ CH3		= CH2O	+ H		1.124533e+07
  R301	NH	+ NO		= N2O	+ H		9.958107e+06
  P71	HNO			= NO	+ H		6.129852e+06
  R289	N	+ NH		= N2	+ H		5.861652e+06
  R416	O	+ CH3		= CO	+ H2	+ H	4.594522e+06
  R327	NH3	+ CH		= HCN	+ H2	+ H	4.406101e+06
  R295	N	+ OH		= NO	+ H		2.811754e+06
  R195	H2	+ C2H		= C2H2	+ H		1.978947e+06
  P40	CH4O			= CH3O	+ H		1.755833e+06
  P56	C2H2			= C2H	+ H		1.373261e+06
  R528	OH	+ SO		= SO2	+ H		1.231333e+06
  R433	O	+ H2		= H	+ OH		1.092418e+06
  R506	OH	+ CN		= H	+ CNO		1.681604e+05
  R33	CH	+ CH4		= C2H4	+ H		1.284186e+05
  P59	C2H4			= C2H2	+ H	+ H	1.077242e+05 (x2)
  R206	H2	+ CHO		= CH2O	+ H		6.634596e+04
  P63	C2H6			= C2H4	+ H	+ H	5.153745e+04 (x2)
  R527	OH	+ S		= H	+ SO		3.675149e+04
  R427	O	+ CHO		= CO2	+ H		2.697713e+04
  P70	C2H5N			= HCN	+ CH3	+ H	2.420172e+04
  P60	C2H4			= C2H3	+ H		2.154483e+04
  T43	HSO2			= SO2	+ H		1.634591e+04
  R408	O	+ CH		= CO	+ H		1.114627e+04
  R203	H2	+ CH3		= CH4	+ H		5.298663e+03
  R198	H2	+ C2H5		= C2H6	+ H		4.269439e+03
  R197	H2	+ C2H3		= C2H4	+ H		3.646902e+03
  R266	HS	+ O		= H	+ SO		2.723566e+03
  P57	C2H3			= C2H2	+ H		2.224171e+03
  R396	O	+ C2H4		= C2H3O	+ H		1.574466e+03
  R449	O(1D)	+ CH4		= CH3O	+ H		1.206952e+03
  R411	O	+ CH2		= CO	+ H	+ H	1.084921e+03 (x2)
