# Reaction ID 	 Column-Integrated Reaction Rate (cm**-2 s**-1)
R1	2.333372e-48
R2	1.011231e-34
R3	2.322816e-10
R4	1.463588e-05
R5	9.201769e-35
R6	6.306085e+01
R7	3.618225e-04
R8	4.082782e+01
R9	1.548410e-07
R10	2.315387e-35
R11	8.420486e-08
R12	4.998321e-02
R13	1.128223e-16
R14	3.697800e-02
R15	9.668931e-26
R16	1.359665e+01
R17	1.962175e+05
R18	1.264828e-08
R19	1.541547e-22
R20	4.105768e+03
R21	9.262205e-06
R22	5.052112e-06
R23	5.857316e-12
R24	1.244398e-04
R25	1.573376e-02
R26	2.864878e-10
R27	2.132553e-12
R28	9.347967e-13
R29	9.663362e+02
R30	3.967294e+01
R31	1.459050e-02
R32	6.606085e+02
R33	1.447436e+04
R34	8.781837e-03
R35	6.200761e+01
R36	1.580488e-02
R37	5.069125e-03
R38	4.680287e-03
R39	3.193442e-06
R40	4.242775e-04
R41	1.769456e-35
R44	1.857378e+04
R45	2.008961e-01
R46	1.004481e-02
R47	4.505302e-13
R48	6.280577e-05
R49	2.664877e-09
R50	4.682808e-01
R51	1.204964e-06
R52	2.274673e-10
R53	2.143540e-06
R54	5.305338e-23
R55	1.096394e+04
R56	1.720710e+03
R57	6.542291e-14
R59	8.924832e+00
R60	1.627735e+00
R61	1.403880e-01
R62	2.464678e-09
R63	2.232349e-06
R64	6.558947e-02
R65	1.564767e-05
R66	3.918246e-02
R67	4.823486e+01
R68	1.049205e-10
R69	2.429551e-06
R70	2.707094e+04
R71	1.804729e+05
R72	1.001089e+02
R73	5.642207e-05
R74	2.986765e-09
R75	1.040284e-03
R76	1.865382e-04
R77	1.865382e-03
R78	4.233893e-03
R79	3.284630e+02
R80	2.862308e-17
R81	1.047314e-02
R82	2.209689e-16
R83	8.103550e-17
R84	1.273265e-12
R85	5.840819e-29
R86	3.563890e-29
R87	2.778503e-25
R88	0.000000e+00
R89	0.000000e+00
R90	0.000000e+00
R91	1.977426e+01
R93	1.709707e-02
R94	6.536382e-07
R95	1.048707e-07
R96	3.370890e+01
R97	8.245909e-26
R98	5.504231e-03
R99	5.749887e+04
R100	1.188415e-02
R101	1.108243e+04
R102	0.000000e+00
R103	0.000000e+00
R104	0.000000e+00
R105	0.000000e+00
R106	0.000000e+00
R107	0.000000e+00
R108	2.627576e-04
R109	2.099071e+01
R110	4.211019e+01
R111	2.374970e+04
R112	4.782089e+01
R113	9.458989e+05
R114	1.891798e+06
R115	4.082604e-04
R116	1.259177e+00
R117	8.630117e-01
R118	1.954536e-02
R119	2.550135e+04
R120	1.347139e-67
R121	1.836475e-54
R122	1.615174e-33
R123	4.792659e+05
R124	8.303700e-22
R125	3.562448e-04
R126	2.671267e-22
R127	1.505573e+04
R128	1.344922e-26
R129	1.441388e-12
R130	5.357324e+02
R131	1.958661e+05
R132	2.079875e+04
R133	1.160733e+03
R134	6.331269e+02
R135	3.448478e-05
R136	8.134589e-01
R137	7.669356e+02
R138	1.247425e+03
R140	1.644489e+05
R141	8.222446e+03
R142	2.908963e+00
R143	4.280836e+02
R145	1.588842e+05
R146	2.058015e+08
R147	4.439013e+06
R148	1.422754e+07
R149	1.070377e-06
R150	2.916443e-06
R152	1.467245e+06
R153	8.237672e+05
R154	5.148545e+04
R155	1.180641e-06
R156	3.211986e-25
R157	8.492572e+05
R159	3.756654e+05
R160	4.225850e-13
R161	5.098960e-13
R162	5.066768e+09
R163	2.310846e+07
R164	3.220489e+00
R165	3.948352e-05
R166	4.348145e+01
R167	1.885456e-04
R168	2.042254e-05
R169	4.323389e-07
R171	1.061604e+05
R172	3.484619e+09
R173	8.758662e-07
R174	7.427111e-17
R175	1.029294e-06
R176	7.281710e-09
R177	5.238794e-07
R178	3.189356e-25
R179	7.141350e-33
R180	4.503286e-01
R181	1.000730e-02
R182	4.315649e-02
R183	4.726604e-11
R186	2.833075e+06
R187	4.526081e-58
R188	3.273053e-43
R189	1.814433e-08
R190	3.404002e-21
R192	3.169092e-09
R193	2.322816e-10
R195	6.985893e+06
R196	4.938733e-17
R197	4.369674e+00
R198	1.101230e+02
R199	3.260519e+02
R200	3.912623e+02
R201	7.217392e+08
R202	1.809675e+08
R203	4.864867e+05
R204	4.579483e+02
R205	1.406370e-24
R206	2.660249e+06
R207	1.937296e+08
R209	7.421814e-13
R212	2.555157e+10
R213	5.020629e-33
R214	6.859751e-36
R215	1.833806e-01
R216	1.745943e-23
R217	1.842755e-08
R218	8.913305e+04
R219	4.749604e-02
R220	5.883933e-03
R221	7.744498e-12
R222	2.053692e-20
R223	4.323560e-14
R224	3.477089e-06
R225	8.187419e-15
R226	4.308669e-31
R227	4.315370e-17
R228	2.387968e-06
R229	6.270275e-04
R230	2.030128e+08
R231	6.925055e-05
R232	4.356401e+00
R233	1.784320e-02
R235	5.221750e+06
R236	1.254194e+04
R237	5.892784e+04
R238	1.209952e+05
R239	1.299419e+05
R242	1.532799e-06
R243	4.818191e-07
R244	1.195568e-21
R245	1.244842e-15
R246	5.250653e-10
R247	2.229649e-10
R248	2.598601e-17
R250	1.706339e-12
R251	1.706339e-12
R252	2.015758e-13
R254	4.156811e-21
R255	6.742767e-17
R257	1.999214e-15
R258	8.365805e-01
R259	4.483851e-07
R260	1.406691e-35
R261	2.275482e-26
R263	1.824069e-05
R264	8.213897e+06
R265	1.788036e-18
R266	1.832626e-03
R267	2.290122e+08
R268	6.337240e-12
R269	4.317140e-20
R270	5.863691e-21
R271	4.073867e-23
R272	3.721140e+08
R273	3.135616e-01
R274	1.385352e-11
R275	3.217443e-12
R276	1.002836e-31
R277	5.455949e-03
R278	1.055990e-03
R279	1.691484e-01
R281	2.931519e-01
R282	2.512977e+03
R283	1.007095e-05
R284	6.359389e+01
R287	2.634836e-22
R288	1.254362e-42
R289	2.520978e+08
R291	1.137783e+01
R292	3.659651e-15
R293	3.077684e-08
R294	4.108526e-20
R295	1.178270e+01
R296	3.000889e+08
R297	9.215225e+06
R298	2.326050e+07
R300	1.379082e+09
R301	3.124411e+09
R302	2.821099e-06
R303	1.880733e-06
R304	3.462879e+08
