Total_Molecules: 84
Total_Reactions: 734
Sorting by     : TP Descending
************************************************************

H				PRODUCTION RXS		INT RX RATE	TP = 3.09e+10

  P56	C2H2			= C2H	+ H		6.024714e+09
  R195	H2	+ C2H		= C2H2	+ H		3.210863e+09
  R511	OH	+ CO		= CO2	+ H		2.670601e+09
  T46	CHO			= CO	+ H		2.460426e+09
  P42	NH3			= NH2	+ H		2.411725e+09
  P45	H2S			= HS	+ H		2.100357e+09
  R212	H2	+ NH2		= NH3	+ H		2.057743e+09
  P20	CH2O			= CHO	+ H		1.652116e+09
  R512	OH	+ H2		= H2O	+ H		1.513370e+09
  P6	H2O			= H	+ OH		1.137544e+09
  R202	H2	+ CH		= CH2	+ H		1.118673e+09
  R597	CH21	+ H2		= CH3	+ H		8.960784e+08
  P32	CH4			= CH3	+ H		7.550429e+08
  R433	O	+ H2		= H	+ OH		5.307526e+08
  R455	O(1D)	+ H2		= H	+ OH		4.822169e+08
  R427	O	+ CHO		= CO2	+ H		4.107022e+08
  P68	N2H4			= N2H3	+ H		2.591044e+08
  R266	HS	+ O		= H	+ SO		2.498036e+08
  P59	C2H4			= C2H2	+ H	+ H	1.321661e+08 (x2)
  P34	CH4			= CH	+ H2	+ H	1.104941e+08
  P71	HNO			= NO	+ H		9.246353e+07
  R415	O	+ CH3		= CH2O	+ H		8.428594e+07
  R33	CH	+ CH4		= C2H4	+ H		7.962924e+07
  P63	C2H6			= C2H4	+ H	+ H	5.948739e+07 (x2)
  R533	S	+ HS		= H	+ S2		4.975715e+07
  P40	CH4O			= CH3O	+ H		3.600651e+07
  R416	O	+ CH3		= CO	+ H2	+ H	3.443682e+07
  P60	C2H4			= C2H3	+ H		2.643321e+07
  R322	NH2	+ O		= H	+ HNO		1.321716e+07
  R403	O	+ C2H5		= C2H4O	+ H		7.969021e+06
  R395	O	+ C2H3		= C2H2O	+ H		7.554599e+06
  R396	O	+ C2H4		= C2H3O	+ H		7.184016e+06
  P57	C2H3			= C2H2	+ H		5.721334e+06
  P70	C2H5N			= HCN	+ CH3	+ H	5.059870e+06
  R304	NH	+ O		= NO	+ H		1.517419e+06
  R528	OH	+ SO		= SO2	+ H		7.149306e+05
  R301	NH	+ NO		= N2O	+ H		2.860502e+05
  R44	CH2	+ CH3		= C2H4	+ H		2.349966e+05
  R527	OH	+ S		= H	+ SO		2.136845e+05
  R445	O	+ OH		= O2	+ H		1.901949e+05
  R206	H2	+ CHO		= CH2O	+ H		8.965379e+04
  R390	O	+ C2H2		= H	+ C2HO		7.068938e+04
