Total_Molecules: 84
Total_Reactions: 735
Sorting by     : TP Descending
************************************************************

O2				PRODUCTION RXS		INT RX RATE	TP = 2.16e+15

  P4	O3			= O2	+ O(1D)		1.504748e+15
  P3	O3			= O2	+ O		6.474560e+14
  R441	O	+ HO2		= OH	+ O2		1.695792e+12
  R522	OH	+ HO2		= H2O	+ O2		7.003992e+11
  R464	O(1D)	+ O2		= O	+ O2		6.186485e+11
  R445	O	+ OH		= O2	+ H		5.973514e+11
  R525	OH	+ O3		= HO2	+ O2		5.224284e+11
  R261	HO2	+ O3		= OH	+ O2	+ O2	2.026747e+11 (x2)
  R192	H	+ O3		= OH	+ O2		8.838515e+10
  R444	O	+ O3		= O2	+ O2		8.072154e+10 (x2)
  M34	O	+ O		= O2			7.095135e+10
  R354	NO	+ O3		= NO2	+ O2		6.648813e+10
  R257	HO2	+ HO2		= H2O2	+ O2		6.556477e+10
  M19	HO2	+ HO2		= H2O2	+ O2		4.451537e+10
  R442	O	+ NO2		= NO	+ O2		2.991200e+10
  R182	H	+ HO2		= H2	+ O2		1.970614e+09
  T1	O3			= O2	+ O		1.424769e+09
  R465	O(1D)	+ O3		= O2	+ O2		1.178996e+09 (x2)
  R466	O(1D)	+ O3		= O2	+ O	+ O	1.178996e+09
  P9	NO3			= NO	+ O2		3.583512e+08
  R521	OH	+ HNO4		= H2O	+ NO2	+ O2	2.514611e+08
  R443	O	+ NO3		= NO2	+ O2		5.324876e+07
  R377	NO2	+ O3		= NO3	+ O2		1.411813e+07
  T12	HNO4			= O2	+ HNO2		8.235507e+06
  R545	SO	+ O3		= SO2	+ O2		6.881769e+06
  R260	HO2	+ NO3		= OH	+ NO2	+ O2	3.428243e+06
  R459	O(1D)	+ N2O		= O2	+ N2		1.409513e+06
  T6	NO3			= NO	+ O2		9.050689e+05
  R269	HS	+ O3		= O2	+ HSO		3.432548e+05
  R294	N	+ O3		= NO	+ O2		4.591148e+04
  R551	SO2	+ HO2		= HSO2	+ O2		3.433451e+04
  R462	O(1D)	+ NO		= O2	+ N		3.155360e+04
  R470	O3	+ CH3		= CH3O	+ O2		2.729497e+04
  R463	O(1D)	+ NO2		= O2	+ NO		2.286251e+04
  R440	O	+ HNO4		= HNO3	+ O2		2.313386e+03
  R271	HSO	+ O3		= HS	+ O2	+ O2	1.321423e+02 (x2)
  R216	HSO	+ O3		= HSO2	+ O2		5.663240e+01
  R500	OH	+ CH3O2		= CH4O	+ O2		4.526464e+01
  R376	NO2	+ NO3		= NO	+ NO2	+ O2	2.164289e+01
